Fecha,i,j,Ng,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,H,S,L
2020-04-03,398,399,6,2368,2414,2723,2873,2898,2842,2798,2708,2705,3043,1543,1204,1122.0044444444443,868.167,2643.5
2020-04-03,400,409,6,2377,2493,2745,2834,2830,2757,2730,2705,2654,3032,1776,1301,1231.6716666666666,640.135,2663.5
2020-04-03,408,392,6,2346,2460,2747,2875,2865,2797,2762,2759,2689,2996,1655,1271,1152.6105555555555,777.882,2667.5
2020-04-03,409,402,6,2378,2509,2859,2991,2925,2903,2834,2844,2762,3043,1665,1238,1210.2350000000001,876.364,2750.0
2020-04-03,415,386,6,2360,2421,2750,2882,2811,2760,2731,2731,2656,3013,1870,1400,1189.4433333333334,869.319,2651.5
2020-04-03,419,396,6,2366,2478,2809,2950,2931,2878,2833,2844,2784,3073,1816,1329,1168.7852777777778,869.565,2714.0
2020-04-03,420,390,6,2334,2423,2704,2814,2825,2777,2722,2689,2659,3035,1750,1292,1197.7833333333333,746.611,2618.5
2020-04-03,421,402,6,2423,2550,2780,2830,2795,2727,2683,2701,2613,3031,1870,1367,1369.0475000000001,520.446,2690.0
2020-04-03,422,384,6,2332,2406,2677,2784,2805,2722,2714,2682,2650,3020,1686,1277,1194.885277777778,728.3240000000001,2595.0
2020-04-03,431,386,6,2359,2467,2743,2830,2844,2769,2742,2691,2660,3040,1820,1335,1267.2175,685.294,2648.5
2020-04-03,431,394,6,2422,2509,2754,2855,2829,2790,2738,2691,2670,3087,1816,1361,1180.1541666666667,645.0409999999999,2682.0
2020-04-03,435,377,6,2362,2454,2743,2878,2849,2797,2765,2740,2700,3074,1752,1288,1136.006388888889,795.1990000000001,2666.0
2020-04-03,438,376,6,2372,2482,2761,2905,2871,2809,2786,2780,2720,3094,1833,1316,1099.2908333333332,785.224,2693.5
2020-04-03,439,459,6,2590,2723,3017,3153,3128,3072,3044,3001,2953,3393,1878,1429,1139.535,731.79,2938.0
2020-04-03,441,379,6,2397,2506,2798,2837,2828,2774,2752,2747,2667,3124,1933,1396,1470.2919444444444,619.5020000000001,2671.5
2020-04-03,441,388,6,2494,2581,2896,2982,2942,2902,2857,2855,2801,3228,1725,1263,1309.2269444444446,720.834,2781.5
2020-04-03,441,453,6,2517,2495,2960,2941,3084,3022,2984,2935,2921,3398,2090,1571,1734.7669444444446,852.4290000000001,2727.5
